expected_page_id,page_name,final_count,old_tier,new_tier,tier_changed
66438236345,"Matuse, Inc.",25,T4,T3,TRUE
108881112460,The Mitten State,313,T4,T4,FALSE
142251481984,Robin Piccone,32,T2,T4,TRUE
162729421015,Deer Stags,13,T2,T2,FALSE
302402588711,Golftini,98,T4,T4,FALSE
323650388691,Laura of Pembroke,1,T2,T1,TRUE
368061849895,Shop Priceless,38,T4,T4,FALSE
100225594892994,Arrowhead Tactical Apparel,233,T4,T4,FALSE
100573939137259,Millie Savage,112,T4,T4,FALSE
100697502758829,Lucyd,137,T4,T4,FALSE
101048028163045,Wildcoat,36,T4,T4,FALSE
101185468525945,Strawberry Western,42,T4,T4,FALSE
102058028907486,Alyth Active,3,T2,T1,TRUE
103027734919244,Kilte Collection,62,T4,T4,FALSE
103334856101796,Hauteline,12,T2,T2,FALSE
103782115094037,Hikerkind,68,T4,T4,FALSE
104078899038536,Sardine Eyewear,12,T2,T2,FALSE
104225308094038,Sierra Madre Golf,30,T4,T4,FALSE
104443821388301,WILLBO,74,T4,T4,FALSE
104606590980191,MamaCoco,83,T4,T4,FALSE
104775668063027,Thirty Years,215,T4,T4,FALSE
104858618346565,seree,65,T4,T4,FALSE
104981101564145,No Reception Club,36,T4,T4,FALSE
104992667785358,Double B Boot Company,25,T4,T3,TRUE
105068278426504,The Hero Company,640,T4,T4,FALSE
105193314747295,La Coochie,203,T4,T4,FALSE
106394662372864,Huug,187,T4,T4,FALSE
106618109384557,SwimZip,45,T4,T4,FALSE
107640981874021,Bralisse,8,T2,T2,FALSE
108006000882968,Iron Oak Apparel Co.,65,T4,T4,FALSE
108142838274348,MILK TEETH,13,T2,T2,FALSE
108167862056135,Snaps Clothing Co,33,T4,T4,FALSE
108549705437950,Free the Sheep,74,T4,T4,FALSE
109543984521109,Ocean and San,93,T4,T4,FALSE
109827308635732,peluva,137,T4,T4,FALSE
110539198972460,BLUESMITHS,33,T4,T4,FALSE
112053681248098,LDMA BRAND,14,T2,T2,FALSE
112241746980486,Oliver Charles,142,T4,T4,FALSE
112719335096788,FattyPack,98,T4,T4,FALSE
115332275150235,Colored Organics,62,T4,T4,FALSE
120272415218506,SheBird Shop,182,T4,T4,FALSE
132772940231680,DeadSoxy,4,T2,T1,TRUE
134569399941595,Joy Dravecky Jewelry,36,T4,T4,FALSE
136783572858515,Aion,77,T4,T4,FALSE
140788899323187,"Condor Outdoor Products, Inc",45,T4,T4,FALSE
154802257718335,del campo golf,41,T4,T4,FALSE
180961471771055,Freyja ,14,T2,T2,FALSE
216841502169122,Beringia,38,T4,T4,FALSE
226377804064612,Gratia Pearl,56,T4,T4,FALSE
226958432601793,Thank God.,141,T4,T4,FALSE
229812673783917,Hypland Worldwide,85,T4,T4,FALSE
231275634427473,Pacas,44,T4,T4,FALSE
234807956715520,AMO Denim,11,T2,T2,FALSE
246451686051824,Flux Footwear,907,T4,T4,FALSE
255889597873377,Bearbottom,845,T4,T4,FALSE
263844526803260,Ashworth.Golf ,36,T4,T4,FALSE
274797732374282,Shopmediclo,32,T4,T4,FALSE
297848966902863,True Fashionistas Designer Resale,4,T2,T1,TRUE
320569485038164,KYNAH,51,T4,T4,FALSE
324744821779231,Burgeon Outdoor,30,T4,T4,FALSE
340499879480724,Ash & Erie,205,T4,T4,FALSE
352788721240428,Pilabarre,103,T4,T4,FALSE
389493694755751,And Collar,96,T4,T4,FALSE
392396014220071,Sebastian Cruz Couture,233,T4,T4,FALSE
437714517054816,BTB Los Angeles,86,T4,T4,FALSE
438605386257085,Good Luck Sock,43,T4,T4,FALSE
484043858373888,The Bra Lab,18,T2,T3,TRUE
503734616339578,Mod Ref,11,T2,T2,FALSE
529648757066544,Susan Alexandra,51,T4,T4,FALSE
548463448527422,Bailey's Blossoms,28,T4,T4,FALSE
552047315321061,Sunday Swagger,217,T4,T4,FALSE
553791961783742,Alma Mater Footwear,12,T2,T2,FALSE
561314267256552,Surfside Supply Co.,17,T2,T3,TRUE
576836482768460,Coyote Jocks,202,T4,T4,FALSE
577675335745644,Oso & Me,28,T4,T4,FALSE
580940575262186,NOBULL,283,T4,T4,FALSE
584548031712695,Katie Waltman Jewelry,28,T4,T4,FALSE
621995781002559,A.shimus New York,37,T4,T4,FALSE
631961560008126,ForgeLine,41,T4,T4,FALSE
655834334518181,Mountain Moverz,126,T4,T4,FALSE
660671900471012,Soarbbhoops,113,T4,T4,FALSE
662460490288592,S W E E T F E E T .,21,T4,T3,TRUE
667199517129704,Elegatto,57,T4,T4,FALSE
673316809535757,Holden Rings,88,T4,T4,FALSE
688287628222834,Oliver Logan,75,T4,T4,FALSE
823009471220792,Top Knot,6,T2,T2,FALSE
825334597333758,Underwater Weaving Studio,20,T4,T3,TRUE
846769448703626,Little Poppy Co,17,T2,T3,TRUE
911937375504219,Walker&Wade,48,T4,T4,FALSE
969678243061791,beek,128,T4,T4,FALSE
1066001313542577,BAJA LLAMA,56,T4,T4,FALSE
1274746369267915,Le Lion,12,T2,T2,FALSE
1294200717356535,Path Projects,193,T4,T4,FALSE
1314341851913797,Imperfects,111,T4,T4,FALSE
1442020236019074,Piper & Scoot,67,T4,T4,FALSE
1587114271324111,Tiny Turnip,41,T4,T4,FALSE
1594338524191854,Binkybro,690,T4,T4,FALSE
1658702764451806,Saola Shoes,77,T4,T4,FALSE
1677579465856335,Boardroom Socks,63,T4,T4,FALSE
1701687666756206,Merlette,61,T4,T4,FALSE
2152301634859449,MANTRA,119,T4,T4,FALSE
