batch_index,sheet_row,company,website,official_facebook_url,expected_page_id,old_ad_count,old_tier
1,47,Laura of Pembroke,https://lauraofpembroke.com,https://www.facebook.com/lauraofpembroke,323650388691,13,T2
2,48,Freyja,https://freyjaworld.com,https://www.facebook.com/people/Freyja/61554838912461,180961471771055,15,T2
3,49,DeadSoxy,https://deadsoxy.com,https://www.facebook.com/DeadSoxy,132772940231680,13,T2
4,50,Little Poppy Co,https://littlepoppyco.com,https://www.facebook.com/littlepoppyco/,846769448703626,10,T2
5,51,Surfside Supply Co.,https://surfsidesupply.com,https://www.facebook.com/surfsidesupplyco,561314267256552,9,T2
6,52,Robin Piccone,https://robinpiccone.com,https://www.facebook.com/RobinPiccone,142251481984,10,T2
7,53,alyth active,https://alythactive.com,https://www.facebook.com/alythactive,102058028907486,10,T2
8,54,Sardine,https://sardine.net,https://www.facebook.com/sardineeyewear,104078899038536,15,T2
9,55,Mod Ref,https://modrefstores.com,https://www.facebook.com/modrefclothing,503734616339578,11,T2
10,56,"Top Knot, Inc.",https://topknotinc.com,https://www.facebook.com/topknotinc,823009471220792,6,T2
11,57,Deer Stags Inc,https://deerstags.com,https://www.facebook.com/DeerStagsShoes,162729421015,14,T2
12,58,Milk Teeth,https://shopmilkteeth.com,https://www.facebook.com/ShopMilkTeeth,108142838274348,14,T2
13,59,LDMA,https://ldmabrand.com,https://www.facebook.com/ldmabrand/,112053681248098,13,T2
14,60,Hauteline,https://hauteline.com,https://www.facebook.com/profile.php?id=100092609865631,103334856101796,12,T2
15,61,True Fashionistas,https://truefashionistas.com,https://www.facebook.com/truefashionistasresale/,297848966902863,6,T2
16,62,BRALISSE,https://bralisse.com,https://www.facebook.com/bralisse,107640981874021,8,T2
17,63,The Bra Lab,https://thebralab.com,https://www.facebook.com/thebralab/,484043858373888,9,T2
18,64,Alma Mater,https://almamaterfootwear.com,https://www.facebook.com/almamaterfootwear/,553791961783742,11,T2
19,65,Le Lion,https://lelion.com,https://www.facebook.com/LeLionCollection/,1274746369267915,12,T2
20,66,AMO DENIM,https://amodenim.com,https://www.facebook.com/amodenim/,234807956715520,13,T2
21,172,BinkyBro,https://binkybro.com,https://www.facebook.com/binkybro,1594338524191854,590,T4
22,173,Good Luck Sock,https://goodlucksock.com,https://www.facebook.com/GoodLuckSock,438605386257085,46,T4
23,174,HYPLAND,https://hypland.com,https://www.facebook.com/hypland,229812673783917,69,T4
24,175,beek leathergoods,https://beekshop.com,https://www.facebook.com/thebeeknest,969678243061791,88,T4
25,176,Double B Boot Company,https://doublebboots.com,https://www.facebook.com/doublebboots,104992667785358,40,T4
26,177,Aion,https://aiongear.com,https://www.facebook.com/profile.php?id=61552130268007,136783572858515,60,T4
27,178,FattyPack,https://fattypack.com,https://www.facebook.com/fattypackco,112719335096788,100,T4
28,179,Imperfects,https://imperfects.com,https://www.facebook.com/Imprfcts,1314341851913797,54,T4
29,180,Tiny Turnip LLC,https://tinyturnip.com,https://www.facebook.com/tinyturnip,1587114271324111,31,T4
30,181,Public Rec,https://publicrec.com,https://www.facebook.com/JustTheHorns,580940575262186,260,T4
31,182,SOAR Sports LLC,https://soarbb.com,https://www.facebook.com/people/Soarbbhoops/61578008101841,660671900471012,91,T4
32,183,Flux Footwear,https://fluxfootwear.com,https://www.facebook.com/fluxfootwear,246451686051824,880,T4
33,184,Mediclo,https://mediclo.com,https://www.facebook.com/shopmedicloscrubs,274797732374282,28,T4
34,185,BLUESMITHS,https://bluesmiths.com,https://www.facebook.com/bluesmiths,110539198972460,30,T4
35,186,Susan Alexandra,https://susanalexandra.com,https://www.facebook.com/susanalexandrajewelry/,529648757066544,51,T4
36,187,Millie Savage Jewellery Pty Ltd,https://milliesavage.com,https://www.facebook.com/officialMilliesavage/,100573939137259,99,T4
37,188,The Mitten State,https://themittenstate.com,https://www.facebook.com/themittenstate,108881112460,310,T4
38,189,Joy Dravecky Jewelry,https://joydraveckyjewelry.com,https://www.facebook.com/joydraveckyjewelry,134569399941595,32,T4
