canary_index,sheet_row,company,website,official_facebook_url,expected_page_id,old_ad_count,old_tier
1,2,Daise,https://shopdaise.com,https://www.facebook.com/shopdaise/,101834441798491,14,T2
2,3,Meadow,https://meadowforall.com,https://www.facebook.com/meadowforall/,104539349041416,12,T2
3,4,Kujo Yardwear,https://kujo.com,https://www.facebook.com/kujoyardwear,1616687735298924,8,T2
4,5,Axism,https://axism.com,https://www.facebook.com/axism.la,108138755531026,12,T2
5,6,Lucky Honey,https://luckyhoney.nyc,https://www.facebook.com/luckyhoneystyle/,786196598170370,8,T2
6,7,Teren,https://terendesigns.com,https://www.facebook.com/terendesigns,598063823973027,11,T2
7,8,Solaro Shades,https://solaroshades.com,https://www.facebook.com/solaroshades,102376512762448,10,T2
8,9,Anzie Jewelry,https://anzie.com,https://www.facebook.com/anziejewelry/,139179284923,12,T2
9,10,Bluegrass Brothers,https://bluegrassbrothers.com,https://www.facebook.com/shopbluegrassbrothers,106513055158264,6,T2
10,11,IPATH Footwear,https://ipath.com,https://www.facebook.com/people/IPATH/61573828861672,531108000094797,12,T2
11,12,Road to Nowhere Clothing,https://roadtonowhereclothing.com,https://www.facebook.com/RTNbrand,104355318540274,8,T2
12,13,Kitty and Vibe,https://kittyandvibe.com,https://www.facebook.com/kittyandvibe,310947129411968,11,T2
13,14,MARKET Highland Park Village,https://markethighlandpark.com,https://www.facebook.com/MarketHighlandPark,191135637891640,11,T2
14,15,ThriftCon,https://thriftcon.co,https://www.facebook.com/ThriftCon,1621156547931788,13,T2
15,16,Pladra,https://pladra.com,https://www.facebook.com/PladraUSA,116921125014022,13,T2
16,17,Sash Group Inc.,https://thesashlife.com,https://www.facebook.com/sashbag,206383749437659,11,T2
17,18,Black Optical,https://blackoptical.com,https://www.facebook.com/BlackOptical,307836760124,8,T2
18,19,Brandon Blackwood New York,https://brandonblackwood.com,https://www.facebook.com/BrandonBlackwoodNYC,474152589291093,11,T2
19,20,Andy Thornal Co,https://andythornal.com,https://www.facebook.com/AndyThornal,170504866318963,13,T2
20,21,Unknown Runner,https://unknownrunner.run,https://www.facebook.com/profile.php?id=61585042647098,1032752806586328,13,T2
21,22,TYDAL Wear,https://tydalwear.com,https://www.facebook.com/profile.php?id=100085626084387,102284062645575,9,T2
22,23,Design Gold Jewelry,https://designgoldjewelry.com,https://www.facebook.com/people/Designgoldjewelry/100077476940998,100480889219683,11,T2
23,24,IRONWILLED,https://theironwilled.com,https://www.facebook.com/ironwilledbodybuilding,102947678622106,9,T2
24,25,Alice Walk,https://alicewalk.com,https://www.facebook.com/alicewalkclothing,399406313561227,9,T2
25,26,RAT BOI,https://ratboi.com,https://www.facebook.com/ratboimade,708737096155760,11,T2
26,27,LOVESUZE,https://lovesuze.com,https://www.facebook.com/lovesuzenyc,2409647645775518,9,T2
27,28,Paradis Sport,https://paradissport.com,https://www.facebook.com/people/Paradis-Sport/100069521173533,102240115431540,7,T2
28,29,Shoe Mill,https://shoemill.com,https://www.facebook.com/ShoeMillOregon,103428243309,7,T2
29,30,Peppers Polarized Eyeware,https://peppersusa.com,https://www.facebook.com/pepperseyeware,119412367116,6,T2
30,31,Pink Moon Bay Boutique,https://thepinkmoonbay.com,https://www.facebook.com/ThePinkMoonBayBoutique,161215433890858,7,T2
31,67,PaprDoll Eyewear,https://paprdoll.com,https://www.facebook.com/PaprDollEyewear/,102549628780679,20,T3
32,68,Blumaka,https://blumaka.com,https://www.facebook.com/blumaka1,108961858219531,25,T3
33,69,WODA Bag,https://wodabag.com,https://www.facebook.com/profile.php?id=61553780222794,127618217112002,16,T3
