sheet_row,company,page_id,historical_count,historical_tier,run1_count,run2_has_active_evidence,run3_count,final_count,final_tier,qa_outcome,resolution_path,qa_reason
2,Daise,101834441798491,14,T2,13,True,,13,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
3,Meadow,104539349041416,12,T2,12,True,,12,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
4,Kujo Yardwear,1616687735298924,8,T2,7,True,,7,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
5,Axism,108138755531026,12,T2,13,True,,13,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
6,Lucky Honey,786196598170370,8,T2,8,True,,8,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
7,Teren,598063823973027,11,T2,12,True,,12,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
8,Solaro Shades,102376512762448,10,T2,11,True,,11,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
9,Anzie Jewelry,139179284923,12,T2,13,True,,13,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
10,Bluegrass Brothers,106513055158264,6,T2,6,True,,6,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
11,IPATH Footwear,531108000094797,12,T2,11,True,,11,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
12,Road to Nowhere Clothing,104355318540274,8,T2,7,True,,7,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
13,Kitty and Vibe,310947129411968,11,T2,11,True,,11,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
14,MARKET Highland Park Village,191135637891640,11,T2,11,True,,11,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
15,ThriftCon,1621156547931788,13,T2,12,True,,12,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
16,Pladra,116921125014022,13,T2,13,True,,13,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
17,Sash Group Inc.,206383749437659,11,T2,11,True,,11,T2,ACCEPTED,AUTO_RESOLVED,Run1 positive count + Run2 active-ad evidence
