pass2_index,input_url,normalized_input_url,shuffle_sha256,pass1_occurrence_count,source_pass1_indices,source_sheet_rows,source_company_names,pass1_dataset,pass1_state,pass1_page_id,pass1_total_count,pass1_results_count,pass1_is_result_complete,pass1_error,pass1_captcha_required,pass1_system_status
1,https://www.facebook.com/simplebabying,https://www.facebook.com/simplebabying,001b0b1feec78748482d2c399a4509c3f51b5ae1199ff971f7e1ed079edbf1d6,1,746,780,Lalabu,continuation-209,error,,,,,no_items,,
2,https://www.facebook.com/nichesnowboards,https://www.facebook.com/nichesnowboards,0020d96fbc1822daddc35bb01a721170ad1723d8620dc84392e152ebbf2c4f33,1,349,381,Niche Snowboards,partial-803,zero,197407323029,0,0,true,,false,NO_KNOWN_ISSUES
3,https://www.facebook.com/authenticallyamericanco,https://www.facebook.com/authenticallyamericanco,00668480e27f25587df4d8daf50fcf1c1d1cd0dfc56b4b88ee99600a30c80996,1,985,1019,Authentically American,partial-803,zero,655273004649847,0,0,true,,false,NO_KNOWN_ISSUES
4,https://www.facebook.com/samsaracycleclub,https://www.facebook.com/samsaracycleclub,00a0aa492afd72b0a16eb9494ae09fba5b6aa699498ad4de4089752a943e96cf,1,200,203,Samsara Cycle,continuation-209,positive,1856060424628966,115,30,false,,false,NO_KNOWN_ISSUES
5,https://www.facebook.com/StrutThis,https://www.facebook.com/strutthis,00c43ffb0c32296edf9992761e7064c534efe99dc3e1df912deea061a446590a,1,123,124,Strut-This,partial-803,zero,207634745924780,0,0,true,,false,NO_KNOWN_ISSUES
6,https://www.facebook.com/bruceglen,https://www.facebook.com/bruceglen,00eb0343986835ff5d996fc7f87092b43f69d3aee6b1cdc571250aceb48a77c8,1,960,994,BRUCEGLEN,continuation-209,error,,,,,no_items,,
7,https://www.facebook.com/pimalubaby,https://www.facebook.com/pimalubaby,01e30de3153c3fe4ca199a76ce506e6a2ea343b3a3f246e1e5bd9e4a65fcd58d,1,248,280,Pimalu,partial-803,zero,124790864042236,0,0,true,,false,NO_KNOWN_ISSUES
8,https://www.facebook.com/ArmTheAnimals,https://www.facebook.com/armtheanimals,021a0441f9ee44546535a3a11181bfceaf99e9c121b0c64329ca3139b060a691,1,650,683,Arm the Animals,partial-803,zero,128220823877343,0,0,true,,false,NO_KNOWN_ISSUES
9,https://www.facebook.com/uplandbespoke,https://www.facebook.com/uplandbespoke,0236ed463604d3a8c296e6a84e7eb3a4c76921b5bd8fd9244d8d5b3610e82b38,1,65,66,Upland Bespoke,continuation-209,zero,1319478651417513,0,0,true,,false,NO_KNOWN_ISSUES
10,https://www.facebook.com/PackinNeat,https://www.facebook.com/packinneat,025739dfabd39deff24a2aeb07d3c254491586a132a80fe6cb831fd2c4348b79,1,287,319,Packin'​ Neat,partial-803,zero,344593715650538,0,0,true,,false,NO_KNOWN_ISSUES
11,https://www.facebook.com/amour781,https://www.facebook.com/amour781,0276c17ea69df57ddb9842c52b3bdd41a652e5583effbc124fe9e0b665eb1fd6,1,655,688,AMOUR781,partial-803,positive,102990245436427,2,2,true,,false,NO_KNOWN_ISSUES
12,https://www.facebook.com/wetcatofficial,https://www.facebook.com/wetcatofficial,027d70e8419dd6b2c665b84bd2bcf3be03d5a5f298b64e7049561dbd458bf237,1,26,27,Wetcat Turkish Towels,partial-803,positive,2117159491894585,24,24,true,,false,NO_KNOWN_ISSUES
